,증가,변화 없음,감소
미디어 이용,70.3,24.9,4.8
온라인 쇼핑,63.2,24.1,12.7
배달음식 주문,58.3,27.7,14.0
직접 요리,58.3,33.3,8.4
가사노동,55.7,41.8,2.5
원격학습,47.2,49.3,3.5
재택근무,31.9,63.6,4.5
학습·공부,31.7,57.9,10.4
온라인 사교활동,28.5,30.5,41.0
운동,21.7,33.2,45.1
외식,17.1,25.9,57.0
대면학습,8.1,47.3,44.6
오프라인 쇼핑,7.2,20.7,72.1
수입 노동,7.0,50.3,42.7
종교활동,6.5,42.2,51.3
오프라인 사교활동,6.3,12.2,81.5
공연·예술·극장,3.5,13.2,83.3
여행,3.4,11.5,85.1
