,전혀 심각하지 않다,별로 심각하지 않다,다소 심각하다,매우 심각하다
2018,3.2,17.1,60.7,19
2019,1.3,14.7,63,21
2020,1.1,15.3,63.2,20.4
2021,0.8,15.1,64.7,19.4

